A,W,MT,ID
64,4,954,4
64,4,848,4
64,4,712,4
64,4,881,4
64,4,1084,4
64,4,753,4
64,4,1207,4
64,4,1005,4
64,4,998,4
32,4,1943,3
32,4,1131,3
32,4,873,3
32,4,1355,3
32,4,1314,3
32,4,665,3
32,4,1137,3
32,4,1208,3
32,4,1199,3
64,16,691,2
64,16,957,2
64,16,739,2
64,16,709,2
64,16,700,2
64,16,980,2
64,16,761,2
64,16,648,2
64,16,630,2
218,8,1522,5
218,8,1111,5
218,8,1147,5
218,8,991,5
218,8,1240,5
218,8,1339,5
218,8,1357,5
218,8,1906,5
218,8,1251,5
218,16,1049,4
218,16,911,4
218,16,710,4
218,16,1100,4
218,16,849,4
218,16,892,4
218,16,989,4
218,16,708,4
218,16,1068,4
32,16,544,2
32,16,834,2
32,16,645,2
32,16,761,2
32,16,604,2
32,16,774,2
32,16,661,2
32,16,682,2
32,16,578,2
64,8,927,3
64,8,849,3
64,8,621,3
64,8,866,3
64,8,831,3
64,8,728,3
64,8,1015,3
64,8,987,3
64,8,772,3
32,8,760,2
32,8,918,2
32,8,999,2
32,8,586,2
32,8,708,2
32,8,543,2
32,8,638,2
32,8,621,2
32,8,718,2
218,4,1442,6
218,4,1916,6
218,4,867,6
218,4,2127,6
218,4,1206,6
218,4,1444,6
218,4,1586,6
218,4,1809,6
218,4,1154,6
